cliente_codigo,nome,segmento,porte,cidade,uf,vendedor_codigo,canal,ticket_medio_mensal,margem_bandeira
C-0001,AgroMar,alimenticio,G,Campo Mourão,PR,V-COR,cooperativa,1150000,verde
C-0002,NorteAgro,alimenticio,G,Maringá,PR,V-003,cooperativa,850000,verde
C-0003,Nova Era Cosméticos,cosmetico,G,Maringá,PR,V-003,externo,680000,amarela
C-0004,CoopFrigo,alimenticio,G,Medianeira,PR,V-COR,cooperativa,560000,verde
C-0005,Distribuidora Sul PR,distribuidor,G,Curitiba,PR,V-COR,externo,420000,verde
C-0006,CoopVale,alimenticio,M,Cascavel,PR,V-002,cooperativa,330000,verde
C-0007,Farmavida,farmaceutico,G,Curitiba,PR,V-001,interno,280000,verde
C-0008,Bell Beauty,cosmetico,M,São Paulo,SP,V-004,externo,245000,vermelha
C-0009,LogiPack,logistica,M,Joinville,SC,V-005,externo,200000,verde
C-0010,Distribuidora Oeste,distribuidor,M,Cascavel,PR,V-002,externo,160000,verde
C-0011,BioGenova,farmaceutico,M,São Paulo,SP,V-004,externo,135000,amarela
C-0012,Mercosul Atacado,distribuidor,M,Foz do Iguaçu,PR,V-002,externo,115000,amarela
C-0013,Aromatic,cosmetico,M,Joinville,SC,V-005,externo,98000,amarela
C-0014,Vale Norte Atacarejo,varejo,M,Maringá,PR,V-003,externo,85000,verde
C-0015,Naturalle,cosmetico,M,Cascavel,PR,V-002,externo,72000,verde
C-0016,Supermercados Avenida,varejo,P,Cascavel,PR,V-002,externo,55000,verde
C-0017,EnvioFácil,ecommerce,P,São José dos Pinhais,PR,V-005,externo,48000,verde
C-0018,Bom Sabor Alimentos,alimenticio,P,Toledo,PR,V-002,externo,42000,verde
C-0019,Padaria Aurora,outros,PP,Cascavel,PR,V-007,interno,5400,verde
C-0020,Padaria do Seu Joaquim,outros,PP,Toledo,PR,V-002,externo,6800,vermelha
C-0021,Atacadão Centro Oeste,distribuidor,P,Marechal Cândido Rondon,PR,V-006,externo,25221,amarela
C-0022,EssenciaPura,cosmetico,P,Chapecó,SC,V-002,externo,35310,vermelha
C-0023,Mercado Vale,varejo,P,Campinas,SP,V-005,externo,28008,vermelha
C-0024,Atacarejo Maringá,distribuidor,M,Londrina,PR,V-001,externo,52550,amarela
C-0025,Vivê Beauty,cosmetico,PP,Foz do Iguaçu,PR,V-006,interno,13226,vermelha
C-0026,Sabor da Terra,alimenticio,P,Apucarana,PR,V-006,externo,24721,amarela
C-0027,DistribuPlus,distribuidor,P,Apucarana,PR,V-003,interno,24018,vermelha
C-0028,Ciência da Vida Farma,farmaceutico,P,Francisco Beltrão,PR,V-006,externo,43205,amarela
C-0029,Salutar Farma Comércio,farmaceutico,M,Londrina,PR,V-001,externo,51911,amarela
C-0030,Sabor Forte Alimentos,alimenticio,P,Londrina,PR,V-002,externo,33244,amarela
C-0031,Comercial Bandeirantes,distribuidor,P,Porto Alegre,RS,V-003,externo,29115,vermelha
C-0032,Coopercana ME,alimenticio,PP,Curitiba,PR,V-005,externo,19088,verde
C-0033,Distrib. Tropical Ltda,distribuidor,PP,Florianópolis,SC,V-006,externo,10381,vermelha
C-0034,Mercatto Indústria,varejo,P,Francisco Beltrão,PR,V-004,interno,29905,amarela
C-0035,Biolatina Indústria Cooperativa,farmaceutico,M,São Paulo,SP,V-001,externo,79155,amarela
C-0036,EnviaTudo Cooperativa,ecommerce,PP,São Paulo,SP,V-005,interno,17223,verde
C-0037,PackExpress Cooperativa,ecommerce,P,Londrina,PR,V-002,externo,38850,verde
C-0038,Doce Vale,alimenticio,PP,Maringá,PR,V-002,externo,18984,amarela
C-0039,Nutrigrão Cooperativa,alimenticio,PP,São Paulo,SP,V-006,externo,17823,amarela
C-0040,Varejo Familiar Ltda,varejo,P,Cascavel,PR,V-004,externo,33093,verde
C-0041,Mercatto ME,varejo,P,Foz do Iguaçu,PR,V-002,interno,22413,verde
C-0042,EssenciaPura Comércio,cosmetico,P,Pato Branco,PR,V-005,interno,29276,verde
C-0043,Rede Vita ME,varejo,PP,São Paulo,SP,V-006,externo,13129,amarela
C-0044,Mercado Vale Ltda,varejo,P,Foz do Iguaçu,PR,V-006,interno,21233,amarela
C-0045,Vivê Beauty ME,cosmetico,PP,Cascavel,PR,V-006,externo,6158,amarela
C-0046,EnviaTudo Comércio,ecommerce,P,Londrina,PR,V-006,externo,35479,amarela
C-0047,Varejo Familiar Ltda (Foz do Iguaçu),varejo,PP,Foz do Iguaçu,PR,V-002,externo,10169,vermelha
C-0048,Mercatto S.A.,varejo,PP,Toledo,PR,V-006,externo,14370,amarela
C-0049,Nutrigrão ME,alimenticio,P,Cascavel,PR,V-002,externo,42469,amarela
C-0050,Mercosul Comércio EPP,distribuidor,P,Maringá,PR,V-004,externo,46805,amarela
C-0051,Biolatina Indústria EPP,farmaceutico,M,Toledo,PR,V-002,externo,80000,verde
C-0052,Distrib. Litoral Sul Ltda,distribuidor,PP,Foz do Iguaçu,PR,V-005,interno,17876,amarela
C-0053,RotaFácil S.A.,ecommerce,PP,Foz do Iguaçu,PR,V-002,externo,14267,verde
C-0054,Laticínios Boa Vista Comércio,alimenticio,P,Pato Branco,PR,V-002,interno,25103,verde
C-0055,Granoma Alimentos S.A.,alimenticio,P,Joinville,SC,V-005,interno,39096,amarela
C-0056,Supermercados Vivo EPP,varejo,PP,Pato Branco,PR,V-006,interno,12857,amarela
C-0057,Solene Cosméticos Ltda,cosmetico,PP,Joinville,SC,V-005,interno,17944,vermelha
C-0058,Distribuidora Sul Sul Ltda,distribuidor,PP,Maringá,PR,V-005,interno,18636,amarela
C-0059,Nutrigrão Comércio,alimenticio,P,Curitiba,PR,V-004,interno,45278,vermelha
C-0060,EntregaCerta ME,ecommerce,P,Joinville,SC,V-006,externo,31904,verde
C-0061,Mercosul Comércio EPP (Joinville),distribuidor,P,Joinville,SC,V-002,externo,45827,vermelha
C-0062,Mercatto Comércio,varejo,P,Cascavel,PR,V-002,externo,23590,verde
C-0063,Distrib. Litoral Sul S.A.,distribuidor,P,Foz do Iguaçu,PR,V-002,externo,38437,amarela
C-0064,Floratta Cosméticos S.A.,cosmetico,P,Maringá,PR,V-003,externo,24386,amarela
C-0065,Granoma Alimentos EPP,alimenticio,M,Campo Mourão,PR,V-003,externo,80000,amarela
C-0066,EnviaTudo Cooperativa (Joinville),ecommerce,P,Joinville,SC,V-003,externo,37301,verde
C-0067,Solene Cosméticos Ltda (São Paulo),cosmetico,P,São Paulo,SP,V-004,interno,25020,vermelha
C-0068,Vita Floral S.A.,cosmetico,P,Florianópolis,SC,V-005,externo,27221,amarela
C-0069,Lumen Beauty,cosmetico,P,Toledo,PR,V-001,interno,46193,amarela
C-0070,Sabor Forte Alimentos Indústria,alimenticio,M,Maringá,PR,V-004,externo,57195,verde
C-0071,DistribuPlus Ltda,distribuidor,P,Maringá,PR,V-003,interno,41946,amarela
C-0072,PackExpress Ltda,ecommerce,P,Marechal Cândido Rondon,PR,V-005,externo,42174,amarela
C-0073,BeautyLab S.A.,cosmetico,P,Curitiba,PR,V-003,externo,23631,amarela
C-0074,Farmalivre Indústria,farmaceutico,P,Pato Branco,PR,V-006,interno,26266,verde
C-0075,Granoma Alimentos Cooperativa,alimenticio,P,Porto Alegre,RS,V-002,externo,31267,verde
C-0076,Ciência da Vida Farma ME,farmaceutico,P,Curitiba,PR,V-004,interno,40996,vermelha
C-0077,PackExpress S.A.,ecommerce,PP,Foz do Iguaçu,PR,V-006,externo,17297,amarela
C-0078,Doce Vale ME,alimenticio,M,Maringá,PR,V-002,externo,52941,verde
C-0079,Lumen Beauty EPP,cosmetico,P,Maringá,PR,V-003,interno,26645,verde
C-0080,Cherie Cosméticos Ltda,cosmetico,P,Londrina,PR,V-005,interno,23786,vermelha
C-0081,Tradição Alimentos Comércio,alimenticio,P,Cascavel,PR,V-005,interno,48015,verde
C-0082,EssenciaPura EPP,cosmetico,P,Londrina,PR,V-004,externo,22875,verde
C-0083,Mercosul Comércio S.A.,distribuidor,PP,Cascavel,PR,V-006,interno,16194,verde
C-0084,Laticínios Boa Vista EPP,alimenticio,P,Toledo,PR,V-004,interno,49313,verde
C-0085,Granoma Alimentos Indústria,alimenticio,P,Cascavel,PR,V-005,interno,24311,amarela
C-0086,Sirena Perfumaria S.A.,cosmetico,P,Apucarana,PR,V-006,externo,33039,vermelha
C-0087,Indústria Caraíbas ME,alimenticio,P,Toledo,PR,V-002,externo,43752,amarela
C-0088,Doce Vale Comércio,alimenticio,P,Francisco Beltrão,PR,V-004,externo,23692,verde
C-0089,Saúde Total Labs Comércio,farmaceutico,P,Cascavel,PR,V-002,externo,28867,verde
C-0090,Sabor Forte Alimentos Comércio,alimenticio,P,Francisco Beltrão,PR,V-003,interno,29409,amarela
C-0091,FreteFix Comércio,logistica,P,Londrina,PR,V-005,interno,23053,verde
C-0092,EssenciaPura EPP (Cascavel),cosmetico,PP,Cascavel,PR,V-002,interno,15028,amarela
C-0093,RotaFácil Comércio,ecommerce,PP,Cascavel,PR,V-003,externo,17705,verde
C-0094,Laticínios Boa Vista ME,alimenticio,P,Curitiba,PR,V-003,interno,26231,amarela
C-0095,MedPlus Indústria Cooperativa,farmaceutico,P,Pato Branco,PR,V-004,externo,27776,amarela
C-0096,Distrib. Litoral Sul EPP,distribuidor,P,Chapecó,SC,V-006,externo,42394,vermelha
C-0097,Saúde Total Labs S.A.,farmaceutico,P,Foz do Iguaçu,PR,V-004,externo,41461,verde
C-0098,Atacadão Centro Oeste S.A.,distribuidor,PP,Campo Mourão,PR,V-003,externo,19577,amarela
C-0099,Lumen Beauty EPP (Apucarana),cosmetico,P,Apucarana,PR,V-002,externo,34516,amarela
C-0100,Mercado Vale Ltda (Londrina),varejo,PP,Londrina,PR,V-002,externo,15100,verde
